Adder,Corner,Delay_ns,Total_Power_uW,Internal_Power_uW,Switching_Power_uW,Leakage_Power_uW,Cell_Area_um2,PDP_uW_ns,EDP_uW_ns2
KSA,SS,1.53,127.1,61.43,37.37,28.28,674.5,194.463,297.52839
KSA,TT,0.87,178.5,77.25,46.12,55.15,674.5,155.295,135.10665
KSA,FF,,1238,97.45,56.67,1084,674.5,,
BKA,SS,1.53,110.5,54.62,30.67,25.15,560.13,169.065,258.66945
BKA,TT,0.87,157.4,68.94,37.82,50.63,560.13,136.938,119.13606
BKA,FF,,1130,94.33,46.45,989,560.13,,
HCA,SS,1.2,114.9,53.95,32.81,28.19,587.58,137.88,165.456
HCA,TT,0.86,164.3,66.37,40.51,57.39,587.58,141.298,121.51628
HCA,FF,,1144,10.38,49.81,1084,587.58,,
RCLA,SS,1.56,127.3,64.4,30.6,32.3,622.91,198.588,309.79728
RCLA,TT,0.89,186.2,81.36,37.74,67.1,622.91,165.718,147.48902
RCLA,FF,,1460,105.3,46.35,1309,622.91,,
Hybrid RCLA,SS,1.54,119.6,60.08,28.81,30.76,604.86,184.184,283.64336
Hybrid RCLA,TT,0.88,176.6,75.81,35.52,65.27,604.86,155.408,136.75904
Hybrid RCLA,FF,,1411,89.21,43.61,1278,604.86,,
CSLA,SS,1.54,97.7,50.58,28.73,18.39,413.49,150.458,231.70532
CSLA,TT,0.88,136.2,64.65,35.45,36.14,413.49,119.856,105.47328
CSLA,FF,,812.7,74.8,43.58,694.3,413.49,,
CSLA-BEC,SS,1.51,95.05,50.01,28.05,16.99,416.29,143.5255,216.723505
CSLA-BEC,TT,0.86,131.1,63.98,34.61,32.5,416.29,112.746,96.96156
CSLA-BEC,FF,,740.4,76.18,42.53,621.7,416.29,,
